Day,Price
0,3.27
1,3.27
2,3.24
3,3.27
4,3.25
5,3.27
6,3.28
7,3.26
8,3.32
9,3.28
10,3.32
11,3.28
12,3.3
13,3.32
14,3.29
15,3.28
16,3.31
17,3.29
18,3.3
19,3.28
20,3.29
21,3.3
22,3.31
23,3.3
24,3.37
25,3.31
26,3.31
27,3.34
28,3.3
29,3.31
30,3.32
31,3.33
32,3.31
33,3.32
34,3.33
35,3.29
36,3.35
37,3.33
38,3.32
39,3.34
40,3.34
41,3.32
42,3.36
43,3.34
44,3.3
45,3.33
46,3.3
47,3.33
48,3.36
49,3.31
50,3.36
51,3.37
52,3.35
53,3.35
54,3.35
55,3.35
56,3.34
57,3.36
58,3.38
59,3.36
60,3.4
61,3.39
62,3.38
63,3.37
64,3.38
65,3.37
66,3.36
67,3.39
68,3.38
69,3.33
70,3.37
71,3.36
72,3.32
73,3.33
74,3.34
75,3.31
76,3.31
77,3.28
78,3.28
79,3.28
80,3.3
81,3.24
82,3.27
83,3.25
84,3.29
85,3.26
86,3.26
87,3.25
88,3.23
89,3.25
90,3.27
91,3.25
92,3.25
93,3.2
94,3.26
95,3.3
96,3.21
97,3.3
98,3.28
99,3.29
100,3.27
101,3.23
102,3.26
103,3.23
104,3.27
105,3.21
106,3.28
107,3.25
108,3.24
109,3.28
110,3.25
111,3.24
112,3.26
113,3.28
114,3.28
115,3.25
116,3.29
117,3.31
118,3.29
119,3.28
120,3.27
121,3.27
122,3.31
123,3.29
124,3.29
125,3.33
126,3.27
127,3.34
128,3.32
129,3.32
130,3.37
131,3.37
132,3.36
133,3.36
134,3.39
135,3.39
136,3.41
137,3.42
138,3.44
139,3.43
140,3.4
141,3.45
142,3.46
143,3.43
144,3.5
145,3.5
146,3.5
147,3.51
148,3.52
149,3.48
150,3.5
151,3.48
152,3.45
153,3.48
154,3.48
155,3.43
156,3.47
157,3.47
158,3.43
159,3.39
160,3.43
161,3.4
162,3.4
163,3.43
164,3.41
165,3.42
166,3.42
167,3.41
168,3.42
169,3.38
170,3.39
171,3.34
172,3.36
173,3.4
174,3.36
175,3.32
176,3.31
177,3.35
178,3.32
179,3.33
180,3.31
181,3.26
182,3.27
183,3.3
184,3.31
185,3.31
186,3.3
187,3.26
188,3.28
189,3.26
190,3.28
191,3.26
192,3.28
193,3.3
194,3.31
195,3.31
196,3.34
197,3.32
198,3.34
199,3.35
200,3.35
201,3.35
202,3.4
203,3.42
204,3.34
205,3.37
206,3.4
207,3.39
208,3.41
209,3.46
210,3.43
211,3.43
212,3.41
213,3.4
214,3.45
215,3.41
216,3.42
217,3.42
218,3.42
219,3.44
220,3.44
221,3.4
222,3.44
223,3.4
224,3.39
225,3.4
226,3.4
227,3.41
228,3.37
229,3.4
230,3.43
231,3.37
232,3.42
233,3.42
234,3.47
235,3.41
236,3.43
237,3.48
238,3.43
239,3.51
240,3.48
241,3.48
242,3.45
243,3.46
244,3.51
245,3.47
246,3.49
247,3.51
248,3.52
249,3.57
250,3.56
251,3.54
252,3.57
253,3.55
254,3.52
255,3.53
256,3.55
257,3.56
258,3.54
259,3.54
260,3.53
261,3.53
262,3.48
263,3.51
264,3.51
265,3.53
266,3.51
267,3.53
268,3.49
269,3.47
270,3.5
271,3.49
272,3.49
273,3.47
274,3.48
275,3.52
276,3.51
277,3.52
278,3.52
279,3.54
280,3.54
281,3.52
282,3.51
283,3.5
284,3.49
285,3.52
286,3.53
287,3.53
288,3.48
289,3.51
290,3.52
291,3.5
292,3.54
293,3.54
294,3.55
295,3.56
296,3.52
297,3.51
298,3.49
299,3.51
300,3.55
301,3.52
302,3.5
303,3.51
304,3.51
305,3.5
306,3.53
307,3.52
308,3.54
309,3.53
310,3.48
311,3.52
312,3.53
313,3.52
314,3.48
315,3.53
316,3.52
317,3.55
318,3.51
319,3.49
320,3.49
321,3.54
322,3.44
323,3.45
324,3.5
325,3.49
326,3.44
327,3.52
328,3.44
329,3.49
330,3.48
331,3.45
332,3.47
333,3.43
334,3.45
335,3.46
336,3.47
337,3.45
338,3.48
339,3.47
340,3.48
341,3.45
342,3.5
343,3.46
344,3.5
345,3.53
346,3.5
347,3.54
348,3.53
349,3.53
350,3.55
351,3.53
352,3.56
353,3.53
354,3.54
355,3.53
356,3.54
357,3.56
358,3.55
359,3.56
360,3.6
361,3.6
362,3.57
363,3.56
364,3.59
