Day,Price
0,1370.0
1,1386.82
2,1371.18
3,1362.27
4,1389.53
5,1375.57
6,1371.45
7,1355.39
8,1353.09
9,1373.69
10,1365.92
11,1383.47
12,1371.28
13,1370.12
14,1378.83
15,1365.55
16,1421.68
17,1397.42
18,1436.05
19,1363.22
20,1417.92
21,1390.85
22,1434.54
23,1398.52
24,1402.68
25,1435.48
26,1453.38
27,1501.57
28,1504.36
29,1528.2
30,1537.58
31,1512.7
32,1518.93
33,1508.47
34,1530.68
35,1533.54
36,1482.51
37,1524.09
38,1502.22
39,1534.1
40,1497.58
41,1536.27
42,1521.57
43,1534.59
44,1505.41
45,1523.14
46,1531.9
47,1523.02
48,1502.13
49,1502.85
50,1521.66
51,1529.55
52,1510.84
53,1501.01
54,1521.94
55,1536.62
56,1519.29
57,1495.27
58,1521.36
59,1468.88
60,1444.97
61,1449.34
62,1458.24
63,1431.59
64,1426.21
65,1445.82
66,1439.89
67,1440.39
68,1468.58
69,1503.69
70,1555.48
71,1591.25
72,1601.46
73,1597.06
74,1580.78
75,1591.57
76,1596.58
77,1618.49
78,1693.53
79,1728.82
80,1775.13
81,1805.05
82,1863.78
83,1910.36
84,1949.68
85,2008.78
86,2035.43
87,2023.47
88,1997.43
89,2023.96
90,2004.89
91,1991.52
92,2036.24
93,2005.41
94,2021.94
95,2005.53
96,2033.04
97,2028.49
98,2007.08
99,2011.18
100,2031.58
101,2016.55
102,2015.74
103,2019.4
104,2007.68
105,2033.96
106,2029.4
107,2020.21
108,2009.1
109,2012.78
110,2009.22
111,1998.95
112,1999.43
113,1993.92
114,2032.75
115,2001.96
116,2023.8
117,1993.03
118,2013.87
119,2031.83
120,2034.71
121,2011.86
122,1996.3
123,2018.42
124,2040.11
125,2017.93
126,2031.88
127,2031.1
128,1981.08
129,1977.82
130,2008.8
131,2007.02
132,2017.41
133,2042.3
134,2004.58
135,2006.16
136,2020.16
137,2026.62
138,2006.21
139,1987.38
140,1924.3
141,1889.35
142,1810.4
143,1781.59
144,1771.19
145,1710.52
146,1669.72
147,1630.6
148,1574.07
149,1613.9
150,1586.96
151,1618.18
152,1685.53
153,1720.8
154,1731.61
155,1747.28
156,1694.57
157,1669.57
158,1621.31
159,1589.4
160,1512.21
161,1518.9
162,1449.01
163,1446.73
164,1431.08
165,1431.26
166,1438.55
167,1421.92
168,1428.61
169,1435.5
170,1446.74
171,1415.75
172,1424.57
173,1440.65
174,1411.65
175,1416.0
176,1417.57
177,1441.36
178,1426.28
179,1423.5
180,1424.24
181,1441.58
182,1406.91
183,1424.71
184,1423.11
185,1441.0
186,1428.33
187,1433.58
188,1458.81
189,1468.37
190,1466.82
191,1478.84
192,1446.29
193,1465.27
194,1455.26
195,1444.43
196,1483.53
197,1468.5
198,1474.58
199,1457.73
200,1452.19
201,1463.81
202,1487.69
203,1428.92
204,1460.7
205,1460.24
206,1435.38
207,1479.83
208,1446.66
209,1457.2
210,1465.36
211,1455.65
212,1445.68
213,1456.19
214,1475.92
215,1445.31
216,1461.07
217,1449.52
218,1458.23
219,1471.99
220,1457.62
221,1480.73
222,1459.89
223,1438.72
224,1456.16
225,1500.51
226,1462.96
227,1451.84
228,1457.92
229,1467.62
230,1459.39
231,1447.12
232,1451.66
233,1455.98
234,1451.16
235,1445.85
236,1424.0
237,1483.35
238,1462.13
239,1481.75
240,1465.09
241,1442.68
242,1497.28
243,1549.23
244,1537.22
245,1562.34
246,1551.3
247,1549.72
248,1552.2
249,1524.44
250,1572.59
251,1541.67
252,1544.25
253,1525.97
254,1568.28
255,1540.23
256,1528.93
257,1545.83
258,1547.46
259,1538.97
260,1547.32
261,1550.19
262,1526.16
263,1550.83
264,1523.98
265,1543.53
266,1524.87
267,1548.37
268,1538.07
269,1504.73
270,1444.41
271,1421.1
272,1372.69
273,1349.71
274,1291.95
275,1264.57
276,1294.13
277,1250.43
278,1287.98
279,1280.04
280,1272.94
281,1276.89
282,1260.0
283,1287.52
284,1294.56
285,1302.61
286,1268.0
287,1294.68
288,1237.68
289,1209.58
290,1203.99
291,1137.86
292,1125.91
293,1042.0
294,1069.31
295,1029.13
296,1010.55
297,993.6
298,957.08
299,921.4
300,907.02
301,884.71
302,858.22
303,831.4
304,813.26
305,823.69
306,841.45
307,838.15
308,832.28
309,835.38
310,826.28
311,859.57
312,894.83
313,881.0
314,935.54
315,928.54
316,987.75
317,1003.4
318,976.88
319,956.17
320,960.73
321,1006.67
322,1035.58
323,1062.34
324,1064.14
325,1047.29
326,1052.0
327,1051.2
328,1034.52
329,1034.95
330,1060.08
331,1079.93
332,1063.49
333,1072.1
334,1035.42
335,1074.72
336,1078.05
337,1063.48
338,1048.2
339,1065.09
340,1057.47
341,1058.85
342,1052.55
343,1070.01
344,1037.92
345,1055.31
346,1064.08
347,1064.62
348,1047.38
349,1059.54
350,1028.18
351,1004.84
352,973.44
353,942.79
354,907.36
355,911.1
356,880.76
357,834.53
358,838.99
359,859.16
360,823.74
361,848.96
362,870.13
363,846.91
364,854.4
