Day,Price
0,8.0
1,8.19
2,7.74
3,7.55
4,8.31
5,8.0
6,8.47
7,8.21
8,7.83
9,8.38
10,7.47
11,8.11
12,8.35
13,7.71
14,8.22
15,7.93
16,8.78
17,7.81
18,7.06
19,8.35
20,7.78
21,8.44
22,8.22
23,8.45
24,8.23
25,8.81
26,8.42
27,7.7
28,7.77
29,7.71
30,7.21
31,8.03
32,9.37
33,8.35
34,8.92
35,7.68
36,7.99
37,8.12
38,7.75
39,7.68
40,8.21
41,8.58
42,8.02
43,8.07
44,8.66
45,7.94
46,7.85
47,7.22
48,8.41
49,8.27
50,8.16
51,8.3
52,7.81
53,8.51
54,8.39
55,8.05
56,8.87
57,8.3
58,8.75
59,9.05
60,8.75
61,8.74
62,8.36
63,8.73
64,9.1
65,8.83
66,8.9
67,9.45
68,9.15
69,8.6
70,9.31
71,8.63
72,9.36
73,9.06
74,8.59
75,8.74
76,9.42
77,9.13
78,9.4
79,9.42
80,9.81
81,8.66
82,9.44
83,9.34
84,8.69
85,9.41
86,9.31
87,8.41
88,9.66
89,9.66
90,9.45
91,9.39
92,8.93
93,8.67
94,8.74
95,8.87
96,8.51
97,8.93
98,8.97
99,8.83
100,8.65
101,8.87
102,8.97
103,8.62
104,9.04
105,8.26
106,8.18
107,8.16
108,8.46
109,8.8
110,7.95
111,8.6
112,8.37
113,7.9
114,7.46
115,7.7
116,8.77
117,8.31
118,8.18
119,7.78
120,7.87
121,8.63
122,8.1
123,8.25
124,8.43
125,8.38
126,8.61
127,9.13
128,8.14
129,8.12
130,8.91
131,8.16
132,8.74
133,7.97
134,8.81
135,8.59
136,9.3
137,8.87
138,8.93
139,8.41
140,9.5
141,8.92
142,9.42
143,8.76
144,9.31
145,8.89
146,8.81
147,9.86
148,9.63
149,9.41
150,9.0
151,9.31
152,9.8
153,9.43
154,9.23
155,9.43
156,9.83
157,9.39
158,9.15
159,9.25
160,8.87
161,8.97
162,8.23
163,9.03
164,9.4
165,9.06
166,8.87
167,8.71
168,8.38
169,8.72
170,9.08
171,8.6
172,8.67
173,9.25
174,8.47
175,9.3
176,9.34
177,9.42
178,9.28
179,9.11
180,9.16
181,9.7
182,9.76
183,10.09
184,9.74
185,8.72
186,9.47
187,9.5
188,9.41
189,9.03
190,9.88
191,9.6
192,8.61
193,9.62
194,9.71
195,8.88
196,9.15
197,8.71
198,8.93
199,8.48
200,8.71
201,8.62
202,8.52
203,8.93
204,8.69
205,8.42
206,8.7
207,9.37
208,8.94
209,8.89
210,9.4
211,9.53
212,9.27
213,9.03
214,9.13
215,9.01
216,9.37
217,10.08
218,8.92
219,9.76
220,9.08
221,10.05
222,9.53
223,9.95
224,8.96
225,9.32
226,8.96
227,9.17
228,9.5
229,9.19
230,9.07
231,9.12
232,9.19
233,9.07
234,9.15
235,8.83
236,8.79
237,9.19
238,8.23
239,8.4
240,8.67
241,8.59
242,8.81
243,8.91
244,8.37
245,8.58
246,8.13
247,7.91
248,8.05
249,7.84
250,8.51
251,8.53
252,8.19
253,7.56
254,8.51
255,8.48
256,8.26
257,8.23
258,8.03
259,8.46
260,8.39
261,7.59
262,8.37
263,8.35
264,8.65
265,7.51
266,7.86
267,8.35
268,8.5
269,8.98
270,8.7
271,8.86
272,8.55
273,9.16
274,8.91
275,9.3
276,9.1
277,9.71
278,8.37
279,9.13
280,9.54
281,9.4
282,9.51
283,9.87
284,9.18
285,9.35
286,8.78
287,9.55
288,9.84
289,9.75
290,9.23
291,10.0
292,9.46
293,9.47
294,8.92
295,9.34
296,8.77
297,9.03
298,9.21
299,9.58
300,9.03
301,8.97
302,9.46
303,8.73
304,8.34
305,9.31
306,8.88
307,9.23
308,8.58
309,9.0
310,8.71
311,8.89
312,8.87
313,8.42
314,8.85
315,8.59
316,8.11
317,8.25
318,8.35
319,8.16
320,8.77
321,8.25
322,7.95
323,8.23
324,7.23
325,8.52
326,8.65
327,8.21
328,7.61
329,8.54
330,8.09
331,8.47
332,7.77
333,7.63
334,7.64
335,8.14
336,7.97
337,7.95
338,7.47
339,7.46
340,8.58
341,8.17
342,7.8
343,8.16
344,7.8
345,7.93
346,8.24
347,8.35
348,7.75
349,8.18
350,8.03
351,7.79
352,7.52
353,7.97
354,7.9
355,7.63
356,7.64
357,7.71
358,7.59
359,7.72
360,8.17
361,8.94
362,8.63
363,7.71
364,8.02
