Day,Price
0,1.49
1,1.53
2,1.49
3,1.48
4,1.5
5,1.52
6,1.49
7,1.52
8,1.49
9,1.48
10,1.54
11,1.52
12,1.49
13,1.51
14,1.51
15,1.51
16,1.52
17,1.52
18,1.48
19,1.53
20,1.52
21,1.55
22,1.54
23,1.51
24,1.52
25,1.54
26,1.52
27,1.5
28,1.53
29,1.52
30,1.48
31,1.52
32,1.54
33,1.52
34,1.51
35,1.52
36,1.51
37,1.51
38,1.53
39,1.55
40,1.51
41,1.47
42,1.49
43,1.52
44,1.49
45,1.48
46,1.52
47,1.51
48,1.48
49,1.51
50,1.49
51,1.49
52,1.48
53,1.49
54,1.48
55,1.43
56,1.48
57,1.49
58,1.47
59,1.48
60,1.44
61,1.51
62,1.5
63,1.51
64,1.5
65,1.46
66,1.47
67,1.46
68,1.44
69,1.48
70,1.49
71,1.5
72,1.49
73,1.5
74,1.46
75,1.47
76,1.49
77,1.49
78,1.46
79,1.47
80,1.51
81,1.51
82,1.51
83,1.47
84,1.52
85,1.48
86,1.48
87,1.5
88,1.48
89,1.51
90,1.47
91,1.47
92,1.45
93,1.48
94,1.5
95,1.49
96,1.49
97,1.48
98,1.5
99,1.5
100,1.48
101,1.5
102,1.49
103,1.51
104,1.46
105,1.49
106,1.48
107,1.5
108,1.48
109,1.47
110,1.5
111,1.48
112,1.48
113,1.46
114,1.53
115,1.48
116,1.5
117,1.48
118,1.5
119,1.49
120,1.49
121,1.49
122,1.52
123,1.5
124,1.48
125,1.5
126,1.51
127,1.52
128,1.47
129,1.51
130,1.53
131,1.5
132,1.53
133,1.53
134,1.48
135,1.52
136,1.52
137,1.51
138,1.51
139,1.48
140,1.5
141,1.49
142,1.47
143,1.53
144,1.5
145,1.52
146,1.51
147,1.5
148,1.51
149,1.51
150,1.5
151,1.49
152,1.51
153,1.49
154,1.52
155,1.5
156,1.49
157,1.51
158,1.5
159,1.53
160,1.47
161,1.52
162,1.51
163,1.48
164,1.49
165,1.52
166,1.51
167,1.49
168,1.5
169,1.5
170,1.51
171,1.47
172,1.5
173,1.52
174,1.5
175,1.49
176,1.51
177,1.48
178,1.52
179,1.53
180,1.48
181,1.49
182,1.47
183,1.47
184,1.52
185,1.5
186,1.48
187,1.5
188,1.49
189,1.51
190,1.48
191,1.52
192,1.48
193,1.48
194,1.49
195,1.51
196,1.49
197,1.48
198,1.5
199,1.5
200,1.49
201,1.49
202,1.51
203,1.49
204,1.51
205,1.5
206,1.5
207,1.5
208,1.5
209,1.5
210,1.49
211,1.5
212,1.52
213,1.5
214,1.51
215,1.5
216,1.5
217,1.49
218,1.46
219,1.51
220,1.5
221,1.46
222,1.46
223,1.44
224,1.48
225,1.49
226,1.48
227,1.49
228,1.46
229,1.5
230,1.48
231,1.45
232,1.49
233,1.44
234,1.45
235,1.45
236,1.5
237,1.47
238,1.48
239,1.46
240,1.47
241,1.45
242,1.49
243,1.44
244,1.47
245,1.49
246,1.47
247,1.49
248,1.48
249,1.49
250,1.51
251,1.48
252,1.48
253,1.49
254,1.49
255,1.49
256,1.48
257,1.47
258,1.5
259,1.42
260,1.47
261,1.48
262,1.51
263,1.51
264,1.52
265,1.5
266,1.48
267,1.5
268,1.49
269,1.52
270,1.51
271,1.5
272,1.52
273,1.46
274,1.51
275,1.51
276,1.51
277,1.51
278,1.52
279,1.49
280,1.51
281,1.53
282,1.47
283,1.49
284,1.51
285,1.51
286,1.52
287,1.49
288,1.5
289,1.5
290,1.53
291,1.53
292,1.52
293,1.52
294,1.5
295,1.5
296,1.48
297,1.49
298,1.52
299,1.47
300,1.5
301,1.53
302,1.48
303,1.52
304,1.52
305,1.51
306,1.52
307,1.5
308,1.54
309,1.51
310,1.52
311,1.54
312,1.53
313,1.53
314,1.53
315,1.5
316,1.51
317,1.51
318,1.5
319,1.51
320,1.51
321,1.5
322,1.48
323,1.53
324,1.54
325,1.5
326,1.51
327,1.49
328,1.51
329,1.46
330,1.49
331,1.47
332,1.5
333,1.5
334,1.51
335,1.48
336,1.5
337,1.48
338,1.51
339,1.5
340,1.52
341,1.47
342,1.51
343,1.46
344,1.48
345,1.48
346,1.46
347,1.5
348,1.48
349,1.48
350,1.49
351,1.51
352,1.49
353,1.45
354,1.48
355,1.46
356,1.49
357,1.47
358,1.51
359,1.47
360,1.51
361,1.5
362,1.47
363,1.53
364,1.53
