Day,Price
0,5.0
1,4.73
2,4.78
3,4.81
4,4.84
5,4.94
6,4.89
7,5.1
8,4.94
9,5.14
10,4.95
11,5.02
12,5.12
13,4.93
14,4.92
15,5.11
16,5.0
17,5.14
18,4.99
19,5.04
20,5.05
21,5.12
22,5.12
23,5.44
24,5.14
25,5.14
26,5.31
27,5.13
28,5.22
29,5.17
30,5.24
31,5.19
32,5.25
33,5.32
34,5.23
35,5.41
36,5.31
37,5.15
38,5.37
39,5.43
40,5.24
41,5.48
42,5.35
43,5.2
44,5.36
45,5.2
46,5.33
47,5.4
48,5.22
49,5.42
50,5.53
51,5.43
52,5.47
53,5.41
54,5.41
55,5.38
56,5.58
57,5.48
58,5.47
59,5.54
60,5.56
61,5.5
62,5.45
63,5.48
64,5.45
65,5.38
66,5.47
67,5.55
68,5.33
69,5.46
70,5.44
71,5.2
72,5.24
73,5.37
74,5.2
75,5.24
76,5.03
77,5.08
78,5.08
79,5.01
80,4.87
81,5.0
82,5.05
83,5.25
84,4.95
85,5.11
86,4.92
87,4.84
88,4.88
89,5.08
90,5.01
91,5.0
92,4.86
93,5.08
94,5.11
95,4.85
96,5.23
97,5.09
98,5.09
99,5.02
100,4.97
101,5.09
102,4.89
103,5.08
104,4.89
105,5.16
106,4.95
107,5.01
108,5.2
109,5.17
110,5.06
111,5.09
112,5.22
113,5.2
114,5.05
115,5.23
116,5.34
117,5.39
118,5.16
119,5.22
120,5.23
121,5.34
122,5.33
123,5.35
124,5.56
125,5.25
126,5.44
127,5.49
128,5.61
129,5.7
130,5.53
131,5.53
132,5.58
133,5.59
134,5.69
135,5.65
136,5.71
137,5.81
138,5.84
139,5.7
140,5.87
141,5.86
142,5.67
143,5.97
144,6.01
145,5.97
146,5.92
147,5.94
148,5.65
149,5.95
150,5.78
151,5.79
152,5.76
153,5.79
154,5.65
155,5.77
156,5.8
157,5.58
158,5.28
159,5.6
160,5.43
161,5.29
162,5.37
163,5.36
164,5.44
165,5.37
166,5.43
167,5.49
168,5.17
169,5.28
170,5.18
171,5.09
172,5.39
173,5.12
174,4.98
175,5.05
176,5.12
177,5.04
178,5.03
179,4.93
180,4.84
181,4.85
182,4.98
183,4.9
184,4.88
185,4.91
186,4.74
187,4.82
188,4.7
189,4.88
190,4.8
191,4.92
192,4.93
193,4.97
194,5.03
195,5.18
196,5.13
197,5.19
198,5.34
199,5.23
200,5.24
201,5.45
202,5.57
203,5.24
204,5.43
205,5.61
206,5.49
207,5.53
208,5.78
209,5.81
210,5.67
211,5.68
212,5.56
213,5.95
214,5.69
215,5.71
216,5.68
217,5.82
218,5.88
219,5.74
220,5.68
221,5.84
222,5.79
223,5.73
224,5.71
225,5.64
226,5.91
227,5.71
228,5.77
229,5.81
230,5.64
231,5.86
232,5.76
233,6.07
234,5.79
235,5.85
236,6.01
237,5.9
238,6.13
239,5.91
240,6.04
241,5.81
242,5.87
243,6.08
244,5.95
245,6.01
246,6.08
247,6.08
248,6.27
249,6.26
250,6.15
251,6.13
252,6.16
253,6.06
254,6.05
255,6.15
256,6.19
257,6.14
258,6.06
259,6.13
260,6.16
261,5.9
262,6.21
263,6.13
264,6.15
265,5.98
266,6.1
267,5.98
268,5.99
269,6.04
270,6.05
271,6.03
272,5.98
273,5.91
274,6.02
275,6.12
276,6.0
277,6.05
278,6.24
279,6.22
280,6.01
281,6.01
282,6.08
283,5.94
284,6.0
285,6.25
286,6.11
287,5.88
288,6.06
289,6.04
290,5.95
291,6.09
292,6.09
293,6.23
294,6.31
295,6.14
296,6.04
297,6.01
298,5.95
299,6.28
300,6.16
301,5.97
302,6.15
303,5.95
304,5.99
305,6.2
306,6.04
307,6.18
308,6.23
309,5.96
310,6.0
311,6.13
312,6.12
313,5.91
314,6.09
315,6.01
316,6.19
317,5.98
318,5.96
319,5.87
320,6.17
321,5.84
322,5.93
323,6.04
324,5.99
325,5.82
326,6.06
327,5.85
328,5.97
329,5.94
330,5.8
331,5.88
332,5.73
333,5.85
334,5.84
335,5.95
336,5.84
337,5.96
338,6.01
339,5.89
340,5.84
341,6.15
342,5.86
343,6.12
344,6.29
345,6.18
346,6.4
347,6.36
348,6.33
349,6.28
350,6.31
351,6.37
352,6.29
353,6.32
354,6.34
355,6.44
356,6.33
357,6.31
358,6.35
359,6.4
360,6.46
361,6.36
362,6.13
363,6.37
364,6.31
