Day,Price
0,2.2
1,2.21
2,2.2
3,2.2
4,2.21
5,2.21
6,2.2
7,2.2
8,2.17
9,2.2
10,2.2
11,2.19
12,2.2
13,2.2
14,2.2
15,2.2
16,2.23
17,2.2
18,2.21
19,2.17
20,2.2
21,2.21
22,2.2
23,2.19
24,2.2
25,2.2
26,2.2
27,2.2
28,2.2
29,2.2
30,2.2
31,2.2
32,2.19
33,2.2
34,2.22
35,2.2
36,2.2
37,2.2
38,2.2
39,2.2
40,2.19
41,2.2
42,2.2
43,2.19
44,2.19
45,2.24
46,2.21
47,2.2
48,2.2
49,2.28
50,2.3
51,2.29
52,2.32
53,2.29
54,2.31
55,2.31
56,2.38
57,2.4
58,2.38
59,2.38
60,2.38
61,2.37
62,2.4
63,2.46
64,2.46
65,2.47
66,2.46
67,2.46
68,2.46
69,2.49
70,2.46
71,2.48
72,2.46
73,2.46
74,2.47
75,2.46
76,2.47
77,2.38
78,2.37
79,2.38
80,2.37
81,2.4
82,2.37
83,2.39
84,2.29
85,2.29
86,2.29
87,2.29
88,2.28
89,2.29
90,2.29
91,2.22
92,2.23
93,2.2
94,2.23
95,2.19
96,2.2
97,2.2
98,2.19
99,2.2
100,2.2
101,2.22
102,2.19
103,2.2
104,2.19
105,2.29
106,2.29
107,2.29
108,2.29
109,2.29
110,2.28
111,2.29
112,2.37
113,2.38
114,2.39
115,2.37
116,2.38
117,2.39
118,2.37
119,2.46
120,2.47
121,2.46
122,2.46
123,2.46
124,2.46
125,2.45
126,2.47
127,2.47
128,2.47
129,2.45
130,2.46
131,2.46
132,2.46
133,2.38
134,2.37
135,2.38
136,2.38
137,2.38
138,2.37
139,2.37
140,2.29
141,2.28
142,2.28
143,2.28
144,2.31
145,2.3
146,2.29
147,2.2
148,2.19
149,2.2
150,2.2
151,2.21
152,2.2
153,2.21
154,2.2
155,2.18
156,2.21
157,2.19
158,2.2
159,2.2
160,2.2
161,2.29
162,2.29
163,2.3
164,2.29
165,2.29
166,2.3
167,2.29
168,2.36
169,2.37
170,2.38
171,2.38
172,2.4
173,2.38
174,2.37
175,2.46
176,2.46
177,2.48
178,2.46
179,2.46
180,2.46
181,2.44
182,2.46
183,2.46
184,2.47
185,2.47
186,2.47
187,2.46
188,2.46
189,2.37
190,2.37
191,2.38
192,2.38
193,2.38
194,2.37
195,2.38
196,2.29
197,2.29
198,2.29
199,2.29
200,2.28
201,2.28
202,2.28
203,2.19
204,2.19
205,2.21
206,2.2
207,2.2
208,2.19
209,2.21
210,2.2
211,2.2
212,2.18
213,2.2
214,2.18
215,2.2
216,2.2
217,2.27
218,2.31
219,2.29
220,2.29
221,2.29
222,2.31
223,2.29
224,2.38
225,2.37
226,2.38
227,2.37
228,2.38
229,2.37
230,2.38
231,2.48
232,2.46
233,2.46
234,2.46
235,2.46
236,2.46
237,2.46
238,2.47
239,2.46
240,2.48
241,2.46
242,2.46
243,2.47
244,2.49
245,2.38
246,2.39
247,2.37
248,2.37
249,2.38
250,2.37
251,2.38
252,2.29
253,2.29
254,2.29
255,2.29
256,2.27
257,2.3
258,2.29
259,2.2
260,2.2
261,2.21
262,2.21
263,2.2
264,2.21
265,2.2
266,2.2
267,2.21
268,2.2
269,2.18
270,2.19
271,2.2
272,2.2
273,2.3
274,2.27
275,2.28
276,2.3
277,2.29
278,2.29
279,2.28
280,2.37
281,2.38
282,2.39
283,2.37
284,2.38
285,2.38
286,2.38
287,2.47
288,2.47
289,2.47
290,2.47
291,2.47
292,2.46
293,2.47
294,2.46
295,2.46
296,2.46
297,2.47
298,2.46
299,2.48
300,2.46
301,2.38
302,2.38
303,2.37
304,2.37
305,2.37
306,2.38
307,2.37
308,2.29
309,2.28
310,2.28
311,2.29
312,2.29
313,2.29
314,2.28
315,2.2
316,2.19
317,2.21
318,2.2
319,2.19
320,2.2
321,2.2
322,2.2
323,2.2
324,2.23
325,2.2
326,2.24
327,2.2
328,2.2
329,2.21
330,2.21
331,2.2
332,2.2
333,2.2
334,2.19
335,2.21
336,2.19
337,2.21
338,2.19
339,2.19
340,2.19
341,2.2
342,2.2
343,2.21
344,2.22
345,2.18
346,2.2
347,2.2
348,2.2
349,2.2
350,2.19
351,2.2
352,2.2
353,2.19
354,2.2
355,2.2
356,2.2
357,2.2
358,2.18
359,2.18
360,2.2
361,2.21
362,2.2
363,2.2
364,2.2
