Day,Price
0,100.0
1,100.14
2,100.47
3,100.0
4,100.15
5,100.0
6,101.3
7,100.18
8,100.1
9,98.81
10,99.89
11,100.1
12,100.0
13,100.17
14,100.28
15,100.0
16,100.29
17,101.85
18,99.89
19,99.75
20,100.0
21,99.8
22,100.07
23,99.91
24,100.0
25,100.3
26,99.67
27,100.0
28,99.91
29,101.78
30,98.41
31,99.81
32,99.86
33,98.61
34,99.83
35,100.35
36,100.36
37,100.0
38,98.24
39,98.45
40,100.4
41,99.42
42,98.84
43,100.06
44,99.76
45,99.87
46,99.37
47,101.34
48,100.15
49,99.91
50,100.16
51,100.23
52,99.84
53,100.0
54,101.56
55,100.19
56,98.58
57,98.81
58,99.85
59,100.14
60,100.17
61,100.0
62,99.68
63,99.13
64,100.0
65,100.0
66,99.45
67,100.0
68,98.36
69,98.59
70,100.0
71,99.85
72,98.65
73,100.12
74,100.11
75,100.0
76,99.81
77,99.74
78,100.0
79,102.09
80,100.25
81,100.0
82,100.0
83,99.94
84,100.52
85,98.36
86,100.18
87,100.23
88,98.7
89,98.69
90,99.83
91,99.88
92,98.76
93,99.72
94,100.35
95,99.51
96,98.67
97,100.0
98,98.77
99,101.98
100,100.0
101,100.0
102,98.41
103,99.76
104,100.13
105,99.92
106,100.0
107,100.09
108,100.22
109,101.78
110,99.86
111,100.33
112,99.65
113,99.59
114,100.0
115,99.78
116,99.89
117,101.65
118,99.93
119,100.23
120,99.85
121,101.28
122,99.25
123,99.86
124,98.7
125,100.0
126,99.0
127,100.31
128,99.6
129,100.0
130,99.59
131,100.0
132,100.44
133,100.0
134,99.53
135,99.72
136,99.93
137,100.3
138,100.06
139,99.87
140,101.09
141,99.72
142,100.0
143,99.12
144,99.8
145,100.0
146,100.14
147,100.07
148,99.92
149,100.51
150,100.09
151,100.0
152,99.9
153,100.24
154,98.44
155,101.72
156,101.12
157,99.59
158,100.0
159,100.0
160,100.93
161,101.41
162,100.0
163,99.88
164,100.0
165,99.8
166,100.08
167,102.05
168,101.64
169,100.18
170,99.87
171,99.64
172,99.48
173,100.0
174,98.29
175,98.63
176,101.35
177,99.8
178,99.75
179,100.0
180,100.11
181,100.0
182,100.15
183,100.89
184,100.23
185,100.23
186,99.81
187,101.1
188,99.87
189,99.81
190,99.91
191,99.46
192,100.18
193,99.71
194,101.28
195,100.36
196,99.76
197,100.09
198,100.21
199,100.0
200,99.93
201,100.0
202,100.38
203,99.15
204,100.0
205,100.16
206,100.35
207,99.82
208,99.87
209,101.59
210,99.8
211,100.17
212,99.08
213,100.32
214,99.72
215,102.02
216,99.69
217,102.02
218,99.67
219,101.91
220,99.88
221,100.42
222,100.37
223,99.86
224,99.64
225,100.0
226,100.97
227,101.38
228,100.09
229,99.83
230,98.84
231,100.37
232,100.59
233,100.2
234,101.64
235,100.09
236,99.46
237,100.35
238,100.29
239,99.94
240,98.67
241,100.0
242,99.93
243,100.16
244,100.0
245,99.79
246,99.76
247,100.38
248,99.63
249,100.94
250,100.14
251,100.0
252,97.46
253,98.72
254,97.98
255,98.35
256,100.49
257,100.12
258,101.66
259,98.74
260,99.82
261,100.29
262,99.83
263,100.19
264,100.71
265,100.0
266,100.0
267,101.4
268,100.24
269,99.78
270,99.77
271,99.93
272,99.78
273,100.28
274,99.89
275,100.37
276,99.72
277,98.6
278,100.0
279,98.36
280,100.08
281,99.9
282,99.51
283,98.91
284,100.18
285,100.46
286,100.0
287,100.63
288,100.0
289,100.0
290,101.74
291,100.32
292,100.99
293,98.8
294,100.0
295,99.75
296,99.91
297,100.0
298,100.07
299,99.76
300,100.38
301,100.0
302,101.46
303,99.48
304,100.11
305,98.9
306,100.26
307,100.0
308,99.76
309,98.98
310,100.0
311,101.51
312,100.0
313,99.23
314,100.22
315,100.0
316,99.76
317,99.93
318,100.14
319,100.36
320,99.68
321,99.81
322,98.77
323,100.0
324,99.02
325,99.89
326,100.07
327,100.0
328,100.33
329,99.76
330,100.39
331,100.38
332,100.0
333,98.44
334,99.66
335,100.0
336,99.69
337,100.0
338,98.64
339,100.2
340,100.38
341,100.08
342,100.0
343,99.82
344,99.79
345,98.49
346,100.55
347,99.78
348,100.0
349,100.36
350,101.13
351,100.68
352,99.89
353,100.27
354,100.23
355,100.0
356,99.82
357,98.86
358,99.91
359,99.82
360,100.72
361,99.85
362,100.0
363,100.08
364,100.0
